city_id,mean,median,std_dev,sum_w
10809,29609.0,21900.0,25154.0,88.12609417
9925,117203.0,300000.0,71140.0,57.86288296
11521,63223.0,50329.0,46300.0,2780.254911
3402,59820.0,50685.0,41523.0,1158.022235
7450,36283.0,27493.0,34877.0,402.17301810000004
10203,39837.0,27021.0,41158.0,1482.850932
10377,66474.0,36520.0,68794.0,388.91396139999995
10992,39958.0,21912.0,51151.0,258.0747776
11117,55294.0,58161.0,29451.0,147.88955880000003
12929,64113.0,300000.0,63098.0,305.1956025
11614,106139.0,93114.0,70195.0,21719.58802
9504,97904.0,98874.0,52983.0,279.04733189999996
12382,15444.0,8760.0,18646.0,600.1701122999999
11273,69214.0,68132.0,39574.0,346.07800860000003
9801,36566.0,20912.0,49371.0,936.4916867999999
8539,97644.0,78926.0,84585.0,170.0842474
9384,36894.0,18272.0,41871.0,400.44908530000004
3403,40531.0,32508.0,38083.0,535.6090115000001
9181,45772.0,28009.0,52199.0,820.9714753
8438,47415.0,36640.0,42060.0,3863.264218
10414,83759.0,73581.0,63146.0,667.5213620000001
10358,45079.0,300000.0,33184.0,186.96245280000002
3405,67450.0,48321.0,62043.0,612241.923
8019,84979.0,73616.0,59231.0,1360.616595
3406,119823.0,105537.0,73356.0,368.9746417
33891,51458.0,53549.0,32209.0,243.6215925
11786,38147.0,24986.0,35243.0,437.42569360000005
9363,43415.0,35321.0,34031.0,1223.158445
3407,106130.0,87111.0,79818.0,268.8812957
13188,72151.0,300000.0,36256.0,397.88030160000005
9579,85024.0,77130.0,60575.0,238.7535605
8396,38844.0,24713.0,40567.0,574.4462219999999
3408,113743.0,105184.0,69854.0,819.9320494
9380,88095.0,63343.0,69063.0,572.8367443
9331,63056.0,44860.0,57825.0,27372.86957
7608,49442.0,48173.0,29603.0,345.51807189999994
7928,55824.0,41908.0,50381.0,47187.060410000006
3409,84971.0,74612.0,53545.0,1539.212031
13811,67508.0,39905.0,59076.0,185.8945947
3410,55275.0,38205.0,54020.0,230.7551897
34457,67727.0,57997.0,45618.0,144.62552780000001
3411,202910.0,300000.0,64055.0,42.86078324
9036,154342.0,154994.0,79948.0,412.1591105
8105,58034.0,46716.0,46281.0,25866.975459999998
12418,73944.0,62396.0,62568.0,490.69467810000003
7711,35399.0,29833.0,33102.0,643.9778507999999
