city_id,health_care_index,crime_index,restaurant_price_index,climate_index,pollution_index,quality_of_life_index,cpi_index,property_price_to_income_ratio,purchasing_power_incl_rent_index,traffic_index
3445,78.894,33.3,64.054,51.636,18.98,191.75,67.976,3.603,111.202,109.905
3446,43.182,74.503,65.441,84.421,46.612,146.452,62.039,1.431,96.62,117.353
3447,65.807,43.513,66.501,61.763,42.672,78.45,35.496,6.286,50.492,173.275
3448,62.938,53.148,74.743,85.685,39.41,146.915,78.265,5.678,77.749,213.867
3449,65.728,68.549,65.357,60.961,29.545,147.808,79.778,3.289,76.756,131.016
3450,78.447,52.423,75.672,49.464,26.523,168.333,80.847,3.697,111.054,166.965
3451,53.968,66.571,63.122,87.535,33.764,158.196,70.984,1.816,91.754,138.238
3452,70.694,63.912,92.199,86.343,56.897,145.348,77.85,10.259,94.479,117.042
3453,37.963,63.102,51.995,87.776,41.477,78.45,35.496,3.82,50.492,108.232
3454,62.698,64.562,74.909,86.504,49.789,144.986,74.471,5.455,83.557,123.595
3455,61.637,46.925,100.0,79.661,57.577,137.904,100.0,9.893,100.0,163.909
3456,59.414,70.631,64.612,76.024,67.42,108.233,75.429,4.398,64.26,255.147
3457,66.667,56.869,60.99,87.117,21.552,78.45,35.496,3.688,50.492,117.205
3459,78.905,63.816,73.148,96.404,35.394,159.038,88.608,7.972,91.307,164.985
3460,77.033,49.464,51.601,77.614,20.894,190.96,62.849,2.646,110.172,113.606
3461,75.861,45.417,60.268,59.79,29.7,180.898,69.974,2.577,106.004,100.058
3462,62.496,51.929,68.949,87.232,35.577,162.65,68.635,3.387,92.364,179.489
3465,69.382,61.472,67.294,77.979,52.148,140.664,77.731,4.424,85.536,179.406
3466,66.579,52.096,64.257,53.759,56.507,151.517,66.15,3.372,116.52,147.549
3467,74.841,37.768,61.981,72.132,45.298,165.15,78.308,2.746,99.648,175.265
3468,75.463,26.157,55.657,86.255,31.773,78.45,35.496,2.316,50.492,177.826
3469,73.841,49.178,69.267,89.557,31.198,174.657,77.546,4.41,98.4,147.591
3470,75.601,34.452,69.064,83.876,22.613,198.765,70.402,3.18,123.056,149.212
3471,62.235,45.604,65.624,62.281,32.357,174.739,66.654,3.584,115.647,123.02
3472,73.863,45.017,71.217,81.27,31.627,183.852,67.652,3.811,105.916,105.577
3473,59.568,39.32,68.558,86.627,55.144,142.09,70.642,7.004,94.517,292.363
3474,70.614,61.634,68.796,63.886,44.426,158.969,70.643,1.648,98.964,111.675
3475,69.502,49.059,66.979,90.643,44.712,167.07,75.869,5.798,100.682,124.038
3476,81.384,70.34,59.22,74.755,37.999,172.345,67.481,1.886,118.976,126.797
3477,79.127,52.158,72.562,49.146,16.846,177.543,78.742,3.499,98.938,102.187
3478,72.273,43.029,61.314,87.846,18.939,190.034,71.119,4.876,100.136,118.472
3479,71.377,32.363,60.224,66.519,63.044,161.338,63.166,7.039,124.713,158.731
3480,72.056,48.193,68.448,80.58,44.964,168.812,63.896,2.569,103.271,135.646
3482,70.154,36.51,77.354,97.078,34.835,184.02,79.375,5.171,112.716,156.229
3483,65.166,56.294,91.098,97.258,47.54,155.724,93.856,7.903,125.043,256.582
3484,73.231,46.526,77.265,95.526,46.006,177.983,78.125,6.378,135.064,182.719
3485,54.444,47.193,67.649,96.786,50.0,153.346,78.671,5.378,98.701,194.173
3486,72.917,24.129,78.745,53.691,31.165,78.45,35.496,5.558,50.492,120.032
3487,73.491,49.109,85.467,91.732,28.632,180.631,88.013,5.101,122.473,189.293
3489,63.655,54.473,70.908,67.115,19.746,168.034,72.703,5.475,88.026,114.261
3490,62.731,77.721,79.529,85.843,67.205,128.616,76.696,4.713,92.211,147.482
3491,73.187,51.334,69.306,90.877,31.859,161.735,77.409,7.338,91.3,221.154
