,country,gross_rental_yield_outside_of_centre,city_name,price_to_rent_ratio_outside_of_centre,house_price_to_income_ratio,affordability_index,mortgage_as_percentage_of_income,price_to_rent_ratio_city_centre,gross_rental_yield_city_centre,city_id
349,United States,7.122712935674236,"Salt Lake City, UT",14.039594309514875,7.0389606643567015,1.9746905106964316,50.64084698757787,30.529506919447982,3.2755196559135307,3479
351,United States,10.525361112573934,"Riverside, CA",9.500861674050954,7.003590963442826,1.930552708388856,51.79863754326348,23.268264490308017,4.297699127567216,3473
363,United States,6.431515749965065,"San Jose, CA",15.548434286356708,6.455767126983326,2.159794620588697,46.300698708446134,17.874192430662006,5.594658353820592,3484
368,United States,8.079095220197878,"Arlington, VA",12.377623641567965,6.383652364413912,2.2114874570744627,45.21843417203379,22.46919116036133,4.450538485622634,3390
373,United States,10.567341957079812,"Mesa, AZ",9.463117632244588,6.285502932921628,2.1181590303530786,47.210808332616494,32.83821759166916,3.0452322730625108,3447
382,United States,11.204084402710635,"Sacramento, CA",8.925316554720592,5.797531124499218,2.395381175350683,41.747009214664985,20.380718596368116,4.906598338383426,3475
385,United States,8.569240955123915,"Boise, ID",11.66964501566568,5.704521431544327,2.453140247004912,40.76407784760452,17.209119444809065,5.810872562114959,3399
386,United States,10.759877133677088,"Miami, FL",9.293786421316312,5.677846823852009,2.4095790423152215,41.50102496904021,11.288596766979897,8.858496947336135,3448
388,United States,7.365857264913939,"Santa Clara, CA",13.576152293411077,5.668045619063209,2.4561312968749003,40.71443579878513,13.425396436909283,7.448569617287324,12428
390,United States,10.680768806038428,"New Orleans, LA",9.362621906342968,5.491132754948109,2.510601838214275,39.83108690429676,15.211000736987744,6.574189412589769,3454
391,United States,9.098813566018043,"Spokane, WA",10.99044389407832,5.475390010764129,2.4726135241772718,40.44303690091383,22.459596917716254,4.452439657148052,3489
397,United States,9.076209882219102,"San Diego, CA",11.017814847572733,5.171361703634539,2.65115083726944,37.719468313238366,14.065274050394025,7.109708608713429,3482
398,United States,8.548002048614393,"Santa Rosa, CA",11.698640153719866,5.139223369416996,2.6948573372521523,37.107715728642745,11.728047465752717,8.526568492497308,7567
400,United States,7.967071161715719,"Seattle, WA",12.551663964109098,5.101286643007873,2.811121483282143,35.572991275796575,15.99850153622439,6.2505853922366645,3487
402,United States,10.645824128045575,"Washington, DC",9.393354501936395,5.002954751481627,2.822482782459317,35.42979982781929,13.756535772339479,7.269271977693094,3497
403,United States,10.82084127206948,"Charleston, SC",9.241425642026357,4.923013741643872,2.8989718255988097,34.494988573869314,14.121009886503918,7.0816464830588695,8539
404,United States,11.42737631898936,"Saint Petersburg, FL",8.750915101467843,4.875585096970083,2.7506901405299864,36.3545128280907,17.609667061793942,5.678699071884256,3478
405,United States,8.300002284193916,"Eugene, OR",12.048189455373368,4.833725260128306,2.836862000683152,35.25021660409239,14.768865215576321,6.771000922571405,9224
