country,city,cities,state,latitude,longitude,city_id,Zip_Code,ALand,AWater,Mean,Median,Stdev,sum_w
United States,"Cleveland, OH",Cleveland, OH,41.49932,-81.6943605,3407,44108,2647807,1505538,106130,87111,79818,268.8812957
United States,"Cody, WY",Cody, WY,44.5263422,-109.0565308,13188,82414,16203355191,61215488,72151,300000,36256,397.8803016
United States,"Coeur d'Alene, ID",Coeur d'Alene, ID,47.7164555,-116.8216056,9579,83814,89009905,6609847,85024,77130,60575,238.7535605
United States,"College Station, TX",College Station, TX,30.627977,-96.3344068,8396,77842,456038,0,38844,24713,40567,574.446222
United States,"Colorado Springs, CO",Colorado Springs, CO,38.8338816,-104.8213634,3408,80921,6111018,13400,113743,105184,69854,819.9320494
United States,"Columbia, MD",Columbia, MD,39.2151996,-76.8546725,9380,21044,3606701,168743,88095,63343,69063,572.8367443
United States,"Columbia, MO",Columbia, MO,38.9517053,-92.3340724,9331,65201,168320842,689182,63056,44860,57825,27372.86957
United States,"Columbia, SC",Columbia, SC,34.0007104,-81.0348144,7608,29210,2328053,0,49442,48173,29603,345.5180719
United States,"Columbus, GA",Columbus, GA,32.4609764,-84.9877094,7928,31907,560530243,11873622,55824,41908,50381,47187.06041
United States,"Columbus, OH",Columbus, OH,39.962208,-83.000676,3409,43236,565783587,15247719,84971,74612,53545,1539.212031
United States,"Concord, CA",Concord, CA,37.9779776,-122.0310733,13811,94520,371137,0,67508,39905,59076,185.8945947
United States,"Corpus Christi, TX",Corpus Christi, TX,27.8005828,-97.396381,3410,78408,6319031,0,55275,38205,54020,230.7551897
United States,"Corvallis, OR",Corvallis, OR,44.5645659,-123.2620435,34457,97330,1129340,0,67727,57997,45618,144.6255278
United States,"Dallas, TX",Dallas, TX,32.7761963,-96.7968994,3411,75225,1199677,0,202910,300000,64055,42.86078324
United States,"Danville, CA",Danville, CA,37.8215929,-121.9999606,9036,94506,5339429,0,154342,154994,79948,412.1591105
United States,"Davenport, IA",Davenport, IA,41.5236437,-90.5776367,8105,52804,162885999,5501339,58034,46716,46281,25866.97546
United States,"Davis, CA",Davis, CA,34.1722874,-117.5812832,12418,95616,4633048,0,73944,62396,62568,490.6946781
United States,"Dayton, OH",Dayton, OH,39.7589478,-84.1916069,7711,45417,5657352,0,35399,29833,33102,643.9778508
United States,"Daytona Beach, FL",Daytona Beach, FL,29.2108147,-81.0228331,10657,32117,15318022,6941,29601,25573,20729,1033.134783
United States,"Deerfield Beach, FL",Deerfield Beach, FL,26.3184123,-80.0997657,7904,33441,3070017,0,42316,33207,38192,1234.832025
United States,"DeLand, FL",DeLand, FL,29.0283213,-81.3031098,11972,32724,48168356,564917,54528,39010,48154,6906.922234
United States,"Denton, TX",Denton, TX,33.2148412,-97.1330683,12599,76207,9865700,147769,89462,300000,57943,176.5253125
United States,"Denver, CO",Denver, CO,39.7391536,-104.9847034,3412,80222,1519397,0,117162,109574,68528,345.3085015
United States,"Des Moines, IA",Des Moines, IA,41.6005448,-93.6091064,3413,50315,230329944,4657227,120279,300000,33710,10.7321315
United States,"Detroit, MI",Detroit, MI,42.331427,-83.0457538,3414,48206,359360867,10667144,36811,25417,37336,192791.0236
United States,"Dothan, AL",Dothan, AL,31.2232313,-85.3904888,9081,36303,6427118,0,58553,45033,42907,401.4213232
United States,"Dover, DE",Dover, DE,39.158168,-75.5243682,12441,19901,2323559,0,43895,32294,41017,650.0318203
United States,"Doylestown, PA",Doylestown, PA,40.3101063,-75.1298939,12633,18902,8118004,24485,148227,147348,82204,171.6128402
United States,"Duluth, GA",Duluth, GA,34.0028786,-84.1446376,12514,30097,5803246,27095,96149,80500,64767,1135.4874
United States,"Duluth, MN",Duluth, MN,46.7866719,-92.1004852,8301,55804,27987039,11794254,79530,74162,52493,797.7491072
United States,"Durham, NC",Durham, NC,35.9940329,-78.898619,3415,27701,3021356,0,40798,25893,35915,348.1491872
United States,"Eau Claire, WI",Eau Claire, WI,44.811349,-91.4984941,11755,54703,15331129,1025686,56369,48096,35718,788.5437679
United States,"El Centro, CA",El Centro, CA,32.792,-115.5630514,12469,92243,128721904,0,48768,36209,45607,340.1905719
United States,"El Paso, TX",El Paso, TX,31.7587198,-106.4869314,3416,79924,6578977,0,45265,25472,44475,441.434096
United States,"Elkhart, IN",Elkhart, IN,41.6819935,-85.9766671,11110,46514,6737379,239568,37069,40505,18635,362.6629421
United States,"Elmira, NY",Elmira, NY,42.0897965,-76.8077338,34781,14905,1493597,50755,63865,48846,55716,782.7950673
United States,"Erie, PA",Erie, PA,42.1292241,-80.085059,9096,16501,49558861,404131,43809,33692,38802,29969.66053
United States,"Eugene, OR",Eugene, OR,44.0520691,-123.0867536,9224,97405,121506662,41250,44743,24736,46461,395.4093988
United States,"Eureka, CA",Eureka, CA,40.7851725,-124.1665554,11162,95503,1895432,0,41404,31689,37090,805.415579
United States,"Evansville, IN",Evansville, IN,37.9715592,-87.5710898,8405,47715,7892834,267496,60239,47063,44079,2253.85552
United States,"Everett, WA",Everett, WA,47.9673056,-122.2013998,9966,98201,4798188,4113637,85392,74124,62200,753.5199492
United States,"Fairbanks, AK",Fairbanks, AK,64.8377802,-147.7163952,11127,99709,222739445,95236,97802,300000,65155,580.2908623
United States,"Fairfax, VA",Fairfax, VA,38.8462236,-77.3063733,8684,22032,1564424,0,134758,128472,68327,228.9783674
United States,"Fairfield, CT",Fairfield, CT,41.1412078,-73.2637258,11975,6825,3985920,0,130514,121247,77319,132.1531483
United States,"Fargo, ND",Fargo, ND,46.8771863,-96.7898034,8779,58102,1253740,0,136797,129656,55532,29.7295821
United States,"Fayetteville, AR",Fayetteville, AR,36.0694725,-94.20543872,9410,72703,8175715,416234,47481,43226,41499,177.2567005
United States,"Fayetteville, NC",Fayetteville, NC,35.0526641,-78.8783585,9246,28306,4400317,0,33422,25039,31080,386.9800186
United States,"Flagstaff, AZ",Flagstaff, AZ,35.199458,-111.6514259,10242,86001,19798069,0,122937,112343,77704,115.1901038
United States,"Flint, MI",Flint, MI,43.0171773,-83.7236024,10898,48504,2225132,0,39229,30987,34400,948.0270198
United States,"Florence, AL",Florence, AL,34.79981,-87.677251,9586,35630,1960895,1340,28404,25315,18845,198.9589663
United States,"Fort Collins, CO",Fort Collins, CO,40.5852602,-105.084423,8543,80521,983869,0,81259,77786,54912,223.4873737
United States,"Fort Lauderdale, FL",Fort Lauderdale, FL,26.1224386,-80.1373174,8025,33311,204974,0,26881,22946,21957,276.6186486
United States,"Fort Myers, FL",Fort Myers, FL,26.640628,-81.8723084,7738,33907,696700,0,20533,18545,9575,230.3322667
United States,"Fort Wayne, IN",Fort Wayne, IN,41.079273,-85.1393513,3417,46808,2668998,39796,44842,42253,28344,1172.249731
United States,"Fort Worth, TX",Fort Worth, TX,32.753177,-97.3327459,3418,76135,4013929,2712,98879,85973,65342,251.5839859
United States,"Frederick, MD",Frederick, MD,39.4142688,-77.4105409,12560,21703,28008497,39127,87344,77070,61173,3260.409573
United States,"Fredericksburg, VA",Fredericksburg, VA,38.3031837,-77.4605399,8216,22407,3951130,8588,89947,76698,57941,564.4357622
United States,"Fremont, CA",Fremont, CA,37.5482697,-121.9885719,3419,94555,1634514,0,125931,300000,73003,533.7271059
United States,"Fresno, CA",Fresno, CA,36.7477272,-119.7723661,3420,93730,3239536,130737,33535,18417,34551,126.3978737
United States,"Frisco, TX",Frisco, TX,33.1506744,-96.8236116,12528,75034,2664535,1457,146002,300000,56066,82.42297436
United States,"Fullerton, CA",Fullerton, CA,33.8703596,-117.9242966,13128,92835,5037525,0,128201,300000,75641,170.3220269
United States,"Gainesville, FL",Gainesville, FL,29.651907,-82.3247976,9782,32601,1835265,629307,39023,31371,30751,454.04382
United States,"Gainesville, GA",Gainesville, GA,34.2978794,-83.8240663,7938,30507,2924073,3338,43231,300000,23821,11.39980266
United States,"Garland, TX",Garland, TX,32.912624,-96.6388833,3421,75043,5129875,1474913,72784,62805,50172,1307.498927
United States,"Germantown, MD",Germantown, MD,39.416774,-76.4585739,7580,20874,3067910,4451,122817,107853,68085,223.815449
United States,"Gilbert, AZ",Gilbert, AZ,33.3528264,-111.789027,34585,85295,176124143,510475,94418,84020,59877,30298.76837
United States,"Glendale, AZ",Glendale, AZ,33.558997,-112.404683,35589,85308,2602089,0,68634,59202,44211,528.3031273
United States,"Glendale, CA",Glendale, CA,34.1425078,-118.255075,3422,91208,2226739,36667,99322,300000,55854,103.2610909
United States,"Grand Forks, ND",Grand Forks, ND,47.9252568,-97.0328547,8754,58203,69852722,488150,61129,46144,55410,14390.34196
United States,"Grand Junction, CO",Grand Junction, CO,39.063956,-108.5507317,11266,81501,1443986,0,43707,30506,39588,484.2050425
United States,"Grand Rapids, MI",Grand Rapids, MI,42.9633599,-85.6680863,3423,49505,1681479,207,54368,49858,36026,348.3458527
United States,"Grapevine, TX",Grapevine, TX,32.9342919,-97.0780654,12655,76051,2877787,25936,46715,39331,39446,869.805183
United States,"Grass Valley, CA",Grass Valley, CA,39.2289075,-121.0685903,10227,95949,71125542,1460898,75233,300000,49818,108.6954497
United States,"Green Bay, WI",Green Bay, WI,44.519159,-88.019826,9276,54304,2793987,0,47427,38266,39290,343.5183879
United States,"Greensboro, NC",Greensboro, NC,36.0726354,-79.7919754,3424,27405,3153696,26999,27719,21342,19970,371.9546884
United States,"Greenville, NC",Greenville, NC,35.612661,-77.3663538,10718,27858,4792140,0,45944,31699,49339,2570.75625
United States,"Greenville, SC",Greenville, SC,34.8526176,-82.3940104,7724,29607,74913028,364965,63183,42074,62064,16778.27182
United States,"Gresham, OR",Gresham, OR,45.5059203,-122.4486119,34311,97080,4748728,26873,84295,69857,58732,399.4736961
United States,"Hagerstown, MD",Hagerstown, MD,39.6419219,-77.7202641,9113,21742,4554032,0,84245,81606,46174,118.3910229
United States,"Harrisburg, PA",Harrisburg, PA,40.2737002,-76.8844179,7536,17110,644717,2214933,53052,41650,46205,1084.481459
United States,Harrisonburg va,Harrisonburg,VA,38.4495688,-78.8689155,12508,22802,86524124,99805,57114,39365,51469,653.9795108
United States,"Hartford, CT",Hartford, CT,41.7637111,-72.6850932,7589,6120,1834384,173905,68135,63583,45047,110.4919552
