city_id,health_care_index,crime_index,restaurant_price_index,climate_index,pollution_index,quality_of_life_index,cpi_index,property_price_to_income_ratio,purchasing_power_incl_rent_index,traffic_index,median,mean,std_dev,sum_w
3413,80.205,40.536,58.89,61.88399999999999,28.973000000000003,186.46200000000002,67.03699999999999,2.8680000000000003,107.92299999999999,105.95200000000001,300000.0,120279.0,33710.0,10.7321315
3414,61.074,73.279,65.31,66.025,58.481,119.152,69.22,1.516,73.304,227.37900000000002,25417.0,36811.0,37336.0,192791.0236
3415,73.742,58.123000000000005,64.77,84.069,30.375,78.45,35.496,2.7889999999999997,50.492,110.37799999999999,25893.0,40798.0,35915.0,348.1491872
3416,68.88600000000001,32.036,42.229,72.05199999999999,46.36,179.885,55.015,2.365,116.51100000000001,130.93,25472.0,45265.0,44475.0,441.434096
3417,77.778,44.44,57.744,65.31,38.812,166.015,65.321,4.052,90.78200000000001,129.94,42253.0,44842.0,28344.0,1172.249731
3418,63.273999999999994,44.044,66.745,81.564,60.038999999999994,164.919,67.509,2.975,116.979,119.837,85973.0,98879.0,65342.0,251.58398590000002
3419,84.63,38.422,82.575,97.84899999999999,27.561999999999998,193.26,80.875,9.259,120.24799999999999,150.958,300000.0,125931.0,73003.0,533.7271059
3420,79.411,61.416000000000004,62.238,78.273,81.425,144.881,66.328,2.975,107.06299999999999,111.735,18417.0,33535.0,34551.0,126.39787369999999
3421,51.388999999999996,38.891999999999996,61.504,85.296,31.034000000000002,159.444,74.171,2.504,101.28299999999999,329.781,62805.0,72784.0,50172.0,1307.4989269999999
3422,75.0,18.207,66.952,95.50399999999999,33.649,186.671,78.774,8.557,73.27,81.971,300000.0,99322.0,55854.0,103.26109090000001
3423,86.779,39.369,59.20399999999999,62.324,25.403000000000002,78.45,35.496,2.767,50.492,124.98200000000001,49858.0,54368.0,36026.0,348.34585269999997
3424,58.46,40.357,64.774,82.788,27.996,78.45,35.496,2.372,50.492,104.92299999999999,21342.0,27719.0,19970.0,371.95468839999995
3425,44.443999999999996,62.794,83.486,77.777,27.586,78.45,35.496,3.157,50.492,268.905,114157.0,131519.0,78333.0,183.3828567
3427,72.419,43.915,81.492,95.33,36.664,155.601,95.39200000000001,8.747,75.347,202.12400000000002,113392.0,123833.0,74328.0,5359.186903
3428,71.67,63.894,65.613,85.53399999999999,56.076,162.097,64.842,2.218,134.415,205.00599999999997,300000.0,169670.0,84592.0,277.3097744
3429,75.529,53.466,56.839,77.688,27.443,159.07,68.405,7.775,50.515,88.399,20282.0,25646.0,20922.0,882.52155
